agent_id,start,exit_cell,exit_time,path_len,congestion
0,"(56, 20)",,,64,391
1,"(55, 94)",,,34,444
2,"(32, 53)",,,43,431
3,"(49, 56)","(65, 50)",187,25,147
4,"(63, 83)","(65, 50)",191,37,145
5,"(35, 45)",,,41,421
6,"(48, 75)",,,50,413
7,"(24, 48)",,,40,427
8,"(53, 79)","(33, 99)",319,45,260
9,"(60, 99)",,,30,442
10,"(21, 50)",,,47,410
11,"(5, 69)","(0, 50)",26,24,1
12,"(28, 54)",,,36,440
13,"(30, 40)",,,43,421
14,"(14, 97)",,,22,466
15,"(44, 39)",,,30,441
16,"(30, 55)",,,51,412
17,"(14, 88)",,,35,436
18,"(10, 91)",,,44,419
19,"(49, 96)","(33, 99)",427,25,377
20,"(5, 79)","(0, 50)",39,34,1
21,"(54, 18)",,,71,406
22,"(35, 68)",,,45,428
23,"(46, 74)","(65, 50)",477,49,402
24,"(8, 7)","(33, 0)",35,32,0
25,"(32, 52)","(65, 50)",452,38,383
26,"(65, 83)",,,45,420
27,"(36, 6)","(33, 0)",10,9,0
28,"(28, 96)","(33, 99)",8,8,0
29,"(33, 33)",,,53,404
30,"(36, 96)","(33, 99)",7,6,0
31,"(21, 83)",,,34,443
32,"(4, 74)","(0, 50)",31,28,0
33,"(42, 59)","(65, 50)",237,36,188
34,"(29, 35)",,,48,430
35,"(30, 82)","(33, 99)",398,23,347
36,"(48, 87)","(33, 99)",382,33,317
37,"(12, 83)",,,47,417
38,"(44, 9)","(33, 0)",20,20,0
39,"(7, 89)",,,45,420
40,"(28, 19)",,,75,384
41,"(34, 15)","(33, 0)",18,16,0
42,"(5, 28)","(0, 50)",28,27,0
43,"(50, 46)","(65, 50)",492,45,414
44,"(60, 0)","(33, 0)",29,27,0
45,"(60, 91)",,,41,413
46,"(24, 32)",,,49,433
47,"(26, 35)",,,54,414
48,"(18, 21)",,,74,383
49,"(49, 54)","(65, 50)",186,21,153
50,"(45, 12)","(33, 0)",25,24,0
51,"(51, 14)","(33, 0)",43,32,6
52,"(3, 94)","(33, 99)",317,36,266
53,"(24, 21)",,,66,400
54,"(23, 35)",,,57,412
55,"(4, 20)","(0, 50)",38,34,1
56,"(5, 48)","(0, 50)",7,7,0
57,"(29, 18)",,,60,410
58,"(63, 81)",,,44,421
59,"(65, 69)","(65, 50)",190,25,149
60,"(13, 18)",,,86,382
61,"(41, 37)",,,35,435
62,"(45, 81)",,,37,432
63,"(51, 35)",,,41,427
64,"(54, 85)",,,42,431
65,"(52, 41)",,,39,435
66,"(42, 6)","(33, 0)",15,15,0
67,"(10, 23)",,,74,395
68,"(12, 53)",,,56,415
69,"(29, 40)",,,43,423
70,"(44, 81)","(33, 99)",312,30,271
71,"(2, 72)","(0, 50)",25,24,1
72,"(11, 99)",,,28,447
73,"(45, 34)",,,42,424
74,"(24, 0)","(33, 0)",12,9,2
75,"(59, 6)","(33, 0)",39,32,6
76,"(27, 3)","(33, 0)",13,9,2
77,"(47, 91)",,,28,449
78,"(58, 62)","(65, 50)",77,20,49
79,"(31, 24)",,,61,401
